agent_id,employee_code,vendor_id,team,status,first_seen_active_at,identity_confidence
AGT0000001,EMP00113,VND0000015,T3,ACTIVE,2026-01-01 07:38:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000002,EMP00004,VND0000007,FIELD,ACTIVE,2026-01-03 15:41:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000003,EMP00037,VND0000004,DIGITAL,ACTIVE,2026-01-04 20:05:13,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000004,EMP00034,VND0000004,T2,INACTIVE,2026-01-03 15:36:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000005,EMP00030,VND0000006,T2,INACTIVE,2026-01-01 00:15:40,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000006,EMP00009,VND0000012,DIGITAL,ACTIVE,2026-01-01 07:05:49,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000007,EMP00014,VND0000005,T2,SUSPENDED,2026-01-03 03:30:04,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000008,EMP00001,VND0000002,T2,SUSPENDED,2026-01-01 18:06:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000009,EMP00262,VND0000007,T2,INACTIVE,2026-01-06 05:10:51,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000010,EMP00024,VND0000004,T2,ACTIVE,2026-01-04 15:10:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000011,EMP00362,VND0000001,T1,SUSPENDED,2026-01-01 15:00:36,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000012,EMP00783,VND0000012,T3,ACTIVE,2026-01-02 13:32:39,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000013,EMP00105,VND0000007,DIGITAL,ACTIVE,2026-01-05 23:45:08,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000014,EMP00119,VND0000002,DIGITAL,INACTIVE,2026-01-03 09:48:31,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000015,EMP00075,VND0000010,DIGITAL,SUSPENDED,2026-01-02 00:59:58,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000016,EMP00034,VND0000003,T2,INACTIVE,2026-01-02 23:40:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000017,EMP00010,VND0000004,DIGITAL,INACTIVE,2026-01-01 23:35:42,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000018,EMP00301,VND0000001,FIELD,ACTIVE,2026-01-01 01:05:17,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000019,EMP00005,VND0000013,T3,ACTIVE,2026-01-05 15:19:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000020,EMP00011,VND0000010,FIELD,ACTIVE,2026-01-02 02:05:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000021,EMP00061,VND0000003,T3,ACTIVE,2026-01-02 17:29:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000022,EMP00074,VND0000003,T1,INACTIVE,2026-01-03 07:40:10,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000023,EMP00070,VND0000002,DIGITAL,INACTIVE,2026-01-02 16:10:56,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000024,EMP00144,VND0000008,FIELD,INACTIVE,2026-01-01 22:22:06,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000025,EMP00009,VND0000002,T1,SUSPENDED,2026-01-01 01:03:06,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000026,EMP00120,VND0000001,T3,SUSPENDED,2026-01-02 07:52:42,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000027,EMP00710,VND0000001,T1,SUSPENDED,2026-01-01 20:38:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000028,EMP00016,VND0000015,T2,ACTIVE,2026-01-05 16:15:39,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000029,EMP00434,VND0000004,T1,ACTIVE,2026-01-04 08:07:24,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000030,EMP00269,VND0000002,T1,SUSPENDED,2026-01-03 01:10:32,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000031,EMP00019,VND0000008,DIGITAL,SUSPENDED,2026-01-06 01:48:48,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000032,EMP00055,VND0000008,FIELD,SUSPENDED,2026-01-04 10:03:56,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000033,EMP00014,VND0000004,T1,SUSPENDED,2026-01-02 08:55:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000034,EMP00075,VND0000003,T1,ACTIVE,2026-01-02 10:48:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000035,EMP00660,VND0000007,T1,ACTIVE,2026-01-06 23:23:15,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000036,EMP00005,VND0000003,T1,ACTIVE,2026-01-01 19:57:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000037,EMP00008,VND0000007,T1,INACTIVE,2026-01-02 08:07:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000038,EMP00047,VND0000001,FIELD,SUSPENDED,2026-01-02 00:35:31,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000039,EMP00059,VND0000003,T1,INACTIVE,2026-01-03 04:01:21,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000040,EMP00488,VND0000008,T2,INACTIVE,2026-01-01 10:20:46,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000041,EMP00043,VND0000004,T1,ACTIVE,2026-01-01 00:49:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000042,EMP00084,VND0000002,DIGITAL,SUSPENDED,2026-01-01 01:46:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000043,EMP00007,VND0000011,FIELD,INACTIVE,2026-01-02 01:31:46,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000044,EMP00023,VND0000010,DIGITAL,ACTIVE,2026-01-05 18:07:26,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000045,EMP00507,VND0000011,T3,SUSPENDED,2026-01-01 06:42:54,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000046,EMP00489,VND0000015,T1,ACTIVE,2026-01-01 07:05:20,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000047,EMP00149,VND0000015,T1,ACTIVE,2026-01-08 16:37:32,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000048,EMP00301,VND0000005,DIGITAL,SUSPENDED,2026-01-05 03:14:17,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000049,EMP00056,VND0000002,T1,ACTIVE,2026-01-05 13:52:21,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000050,EMP00155,VND0000012,DIGITAL,INACTIVE,2026-01-02 03:22:41,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000051,EMP00018,VND0000006,FIELD,INACTIVE,2026-01-03 01:28:00,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000052,EMP01020,VND0000002,FIELD,SUSPENDED,2026-01-02 00:40:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000053,EMP00070,VND0000001,FIELD,ACTIVE,2026-01-01 10:07:41,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000054,EMP00392,VND0000014,DIGITAL,ACTIVE,2026-01-03 01:40:56,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000055,EMP00017,VND0000001,T1,ACTIVE,2026-01-01 10:43:17,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000056,EMP00009,VND0000008,T3,SUSPENDED,2026-01-01 01:30:52,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000057,EMP00017,VND0000003,T2,INACTIVE,2026-01-03 17:08:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000058,EMP00129,VND0000006,FIELD,ACTIVE,2026-01-02 04:05:00,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000059,EMP00093,VND0000015,T1,ACTIVE,2026-01-01 02:02:22,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000060,EMP01073,VND0000003,T3,SUSPENDED,2026-01-03 02:08:56,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000061,EMP00003,VND0000003,T3,SUSPENDED,2026-01-03 21:50:27,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000062,EMP00155,VND0000014,DIGITAL,ACTIVE,2026-01-01 11:17:52,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000063,EMP00009,VND0000001,FIELD,ACTIVE,2026-01-01 00:44:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000064,EMP00051,VND0000002,T1,INACTIVE,2026-01-04 02:34:54,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000065,EMP00968,VND0000015,T2,ACTIVE,2026-01-01 20:55:13,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000066,EMP00202,VND0000002,DIGITAL,SUSPENDED,2026-01-01 11:59:49,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000067,EMP00610,VND0000005,DIGITAL,INACTIVE,2026-01-01 03:44:00,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000068,EMP00050,VND0000007,DIGITAL,INACTIVE,2026-01-02 07:19:05,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000069,EMP00009,VND0000007,DIGITAL,INACTIVE,2026-01-01 02:50:06,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000070,EMP00002,VND0000001,T1,INACTIVE,2026-01-02 09:58:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000071,EMP00163,VND0000004,DIGITAL,INACTIVE,2026-01-01 07:05:35,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000072,EMP00025,VND0000005,FIELD,INACTIVE,2026-01-11 01:37:00,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000073,EMP00192,VND0000003,T1,ACTIVE,2026-01-01 06:58:57,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000074,EMP00413,VND0000006,DIGITAL,ACTIVE,2026-01-03 03:18:25,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000075,EMP00520,VND0000013,FIELD,ACTIVE,2026-01-04 01:42:40,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000076,EMP00038,VND0000013,T3,INACTIVE,2026-01-02 20:19:13,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000077,EMP00020,VND0000011,FIELD,ACTIVE,2026-01-02 00:08:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000078,EMP00227,VND0000013,DIGITAL,INACTIVE,2026-01-02 10:53:14,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000079,EMP00006,VND0000014,DIGITAL,ACTIVE,2026-01-02 22:26:38,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
