issue,decision,status
payment_id_duplicates,remove_exact_duplicate_payment_id_rows,closed
payment_reference_collision,do_not_dedup_reference_alone,closed
agent_joined_at,discard_as_tenure_source,closed
agent_employee_code,do_not_use_as_identity_key,closed
working_population,use_latest_status_as_of_month_start,closed
status_recorded_at_before_event_at,use_event_at_for_sequence,closed
ptp_kept,use_payment_based_reconstruction_with_fixed_window,open_SME_definition
targeting_change,no_clean_intervention_identified,open_external_specification
client_field,not_available,open_data_gap
language_field,not_available,open_data_gap
