channel,recovery_inr,n_payments,share,rank,attribution_model,match_rate_pct
CALL,465638481.48,6215,0.4113006892885566,1,LAST_TOUCH_UNLIMITED,86.0
WHATSAPP,308086253.35,4105,0.27213405550251235,2,LAST_TOUCH_UNLIMITED,86.0
SMS,232368352.09,3093,0.2052520725514136,3,LAST_TOUCH_UNLIMITED,86.0
FIELD,126018999.46,1668,0.11131318265751733,4,LAST_TOUCH_UNLIMITED,86.0
CALL,322162922.43,4280,0.40819578587621486,1,LOOKBACK_30D,59.8
WHATSAPP,211839037.93,2815,0.26841016314000676,2,LOOKBACK_30D,59.8
SMS,163524229.65,2181,0.20719299703487107,3,LOOKBACK_30D,59.8
FIELD,91710087.23,1206,0.11620105394890731,4,LOOKBACK_30D,59.8
CALL,193870200.66,2567,0.4060691568734437,1,LOOKBACK_14D,36.0
WHATSAPP,127925304.3,1680,0.26794484290538784,2,LOOKBACK_14D,36.0
SMS,99547003.52,1323,0.20850531773852102,3,LOOKBACK_14D,36.0
FIELD,56088976.72,735,0.11748068248264747,4,LOOKBACK_14D,36.0
CALL,111847710.28,1483,0.42136905131523145,1,LOOKBACK_7D,20.2
WHATSAPP,69298044.98,924,0.2610697295288684,2,LOOKBACK_7D,20.2
SMS,54910586.35,728,0.2068671912866145,3,LOOKBACK_7D,20.2
FIELD,29382493.85,400,0.11069402786928578,4,LOOKBACK_7D,20.2
