driver,n_exposed,exposed_mean,n_unexposed,unexposed_mean,difference,p_value_or_corr
any_call,53893,3217.7887631046706,111915.0,7374.0418326408435,-4156.253069536173,0.0
any_whatsapp,38264,3150.311057652101,127544.0,6884.98619456815,-3734.6751369160484,2.270430617780445e-199
any_sms,29823,3266.234614559233,135985.0,6627.740314005221,-3361.5056994459883,5.377631420791782e-142
any_field,17250,3233.7723495652176,148558.0,6347.013344821551,-3113.2409952563335,3.732354986746138e-77
call_count,165808,-0.09395583930502151,,,,
answered_calls,165808,-0.03778963197347429,,,,
attempt_count,165808,-0.10724567676931494,,,,
rpc_count,165808,-0.04541669087528235,,,,
whatsapp_events,165808,-0.07449440957020116,,,,
sms_events,165808,-0.06277053058250882,,,,
field_visits,165808,-0.045693920316162415,,,,
target_count,165808,-0.060753490705469246,,,,
avg_priority,165808,-0.0599743210134239,,,,
