opened_month,age_months,accounts,recovery,recovery_per_account
2024-01,24,1311,7494169.63,5716.376529366896
2024-01,25,1169,5916772.88,5061.3968177929855
2024-01,26,1086,6400675.03,5893.807578268877
2024-01,27,996,5136414.7,5157.042871485944
2024-01,28,925,4215718.39,4557.533394594594
2024-01,29,887,5013587.43,5652.296989853438
2024-01,30,877,5651500.55,6444.128335233751
2024-01,31,850,1286692.56,1513.7559529411765
2024-02,23,1299,8498897.13,6542.64598152425
2024-02,24,1185,6800562.68,5738.871459915612
2024-02,25,1089,6311955.96,5796.102809917355
2024-02,26,1013,6064758.83,5986.928756169793
2024-02,27,940,6591823.96,7012.578680851064
2024-02,28,902,5827518.85,6460.663913525498
2024-02,29,870,5044645.35,5798.442931034482
2024-02,30,840,982585.51,1169.7446547619047
2024-03,22,1404,7023853.53,5002.744679487179
2024-03,23,1262,5932680.32,4701.0145166402535
2024-03,24,1148,7936332.76,6913.181846689895
2024-03,25,1070,6066937.16,5670.034728971963
2024-03,26,1011,6082029.58,6015.855173095944
2024-03,27,955,5648006.39,5914.142816753926
2024-03,28,918,6856364.32,7468.8064488017435
2024-03,29,894,2141698.78,2395.6362192393735
2024-04,21,1263,7001886.41,5543.85305621536
2024-04,22,1126,6750100.93,5994.761039076377
2024-04,23,1037,6950437.07,6702.446547733848
2024-04,24,954,5363680.07,5622.306153039833
2024-04,25,888,6410007.7,7218.47713963964
2024-04,26,854,5159551.23,6041.629074941453
2024-04,27,843,4997351.91,5928.056832740213
2024-04,28,811,814423.4400000001,1004.2212577065352
2024-05,20,1287,9693385.18,7531.7678166278165
2024-05,21,1127,6186530.390000001,5489.379228039043
2024-05,22,1050,4319067.85,4113.397952380952
2024-05,23,971,6132763.72,6315.925561277034
2024-05,24,915,5274698.35,5764.697650273223
2024-05,25,873,4181582.85,4789.900171821306
2024-05,26,842,5965152.29,7084.503907363421
2024-05,27,823,1877427.63,2281.200036452005
2024-06,19,1219,6225887.78,5107.373076292043
2024-06,20,1080,7148192.39,6618.696657407407
2024-06,21,984,5341834.24,5428.693333333334
2024-06,22,906,6852150.3100000005,7563.079812362032
2024-06,23,859,5930959.52,6904.493038416763
2024-06,24,808,5158814.5,6384.671410891089
2024-06,25,797,4884149.7299999995,6128.167791718945
2024-06,26,766,1229130.31,1604.6087597911228
2024-07,18,1324,10290115.81,7771.99079305136
2024-07,19,1179,7161814.97,6074.482586938083
2024-07,20,1070,7110850.23,6645.654420560748
2024-07,21,1000,6040151.03,6040.15103
2024-07,22,931,5224392.85,5611.5927497314715
2024-07,23,896,6173553.05,6890.126171875
2024-07,24,864,6010346.27,6956.419293981481
2024-07,25,837,1306923.28,1561.4376105137396
2024-08,17,1358,8678129.29,6390.37502945508
2024-08,18,1199,6603565.0200000005,5507.560483736447
2024-08,19,1101,7239076.55,6575.001407811081
2024-08,20,1011,6560645.01,6489.2631157270025
2024-08,21,936,6083071.51,6499.008023504273
2024-08,22,899,4139754.4299999997,4604.843637374861
2024-08,23,876,5141140.11,5868.881404109589
2024-08,24,845,589090.2999999999,697.1482840236686
2024-09,16,1326,7368214.87,5556.723129713424
2024-09,17,1203,5253655.39,4367.128337489609
2024-09,18,1084,6249268.34,5765.007693726937
2024-09,19,998,5708518.46,5719.958376753507
2024-09,20,933,4259691.27,4565.585498392283
2024-09,21,876,3905175.67,4457.963093607306
2024-09,22,838,5197939.0,6202.791169451074
2024-09,23,795,1499324.96,1885.9433459119496
2024-10,15,1362,7224565.609999999,5304.380036710719
2024-10,16,1240,8205069.3,6616.991370967742
2024-10,17,1153,8303923.42,7202.015108412836
2024-10,18,1062,6892990.29,6490.574661016949
2024-10,19,985,4432334.48,4499.831959390864
2024-10,20,922,5120840.8,5554.05726681128
2024-10,21,891,5928877.53,6654.183535353535
2024-10,22,850,1134481.96,1334.6846588235294
2024-11,14,1288,6799415.07,5279.048967391304
2024-11,15,1123,6263237.6,5577.2373998219055
2024-11,16,1036,5479296.71,5288.896438223938
2024-11,17,972,5570344.35,5730.806944444444
2024-11,18,895,7598969.97,8490.469240223463
2024-11,19,851,5306082.64,6235.11473560517
2024-11,20,815,5248431.69,6439.793484662578
2024-11,21,808,2148634.64,2659.201287128713
2024-12,13,1306,8318232.3,6369.243721286371
2024-12,14,1179,6369517.71,5402.4747328244275
2024-12,15,1071,6173796.64,5764.516003734827
2024-12,16,991,7050859.3,7114.893340060545
2024-12,17,947,5333219.73,5631.699820485745
2024-12,18,891,5783573.13,6491.103400673401
2024-12,19,843,5576450.11,6615.00606168446
2024-12,20,818,1327218.8599999999,1622.516943765281
2025-01,12,1332,9949014.709999999,7469.230262762762
2025-01,13,1178,6096012.02,5174.882869269949
2025-01,14,1090,7735681.71,7096.955697247707
2025-01,15,1008,5810686.82,5764.570257936508
2025-01,16,954,6163542.53,6460.736404612159
2025-01,17,890,5278796.3,5931.231797752809
2025-01,18,853,5457081.9,6397.516881594373
2025-01,19,803,923700.89,1150.3124408468245
2025-02,11,1232,8524805.75,6919.485186688312
2025-02,12,1102,6085707.5,5522.420598911071
2025-02,13,1001,7842320.42,7834.485934065934
2025-02,14,937,5437221.42,5802.797673425827
2025-02,15,879,4195558.92,4773.10457337884
2025-02,16,816,4313079.61,5285.636776960785
2025-02,17,804,3851557.78,4790.494751243781
2025-02,18,780,965510.4,1237.8338461538463
2025-03,10,1355,8221937.73,6067.850723247233
2025-03,11,1215,6263533.67,5155.171744855967
2025-03,12,1114,7084642.88,6359.643518850988
2025-03,13,1014,4850381.02,4783.413234714004
2025-03,14,950,6179720.68,6504.969136842105
