dpd_bucket,risk_segment,geography,accounts,recovered,outstanding,month,recovery_per_account,recovery_rate
0-30,HIGH,Delhi,315,2668346.9,112167455.85,2026-01,8470.942539682539,0.0237889580340339
0-30,HIGH,Haryana,295,788927.07,100731312.59,2026-01,2674.3290508474574,0.007831994339348258
0-30,HIGH,Karnataka,292,1455874.34,99001217.38,2026-01,4985.87102739726,0.01470562058254157
0-30,HIGH,Maharashtra,602,3807685.6,215550381.27,2026-01,6325.059136212625,0.01766494486145429
0-30,HIGH,Odisha,345,2493467.85,115580593.76,2026-01,7227.443043478261,0.0215734127060951
0-30,HIGH,Rajasthan,310,2228332.57,108175740.4,2026-01,7188.169580645161,0.0205991894463613
0-30,HIGH,Tamil Nadu,303,2276704.41,110306445.43,2026-01,7513.87594059406,0.020639813032909186
0-30,HIGH,Telangana,323,1429376.35,120296464.59,2026-01,4425.313777089784,0.011882114365302978
0-30,HIGH,UNKNOWN,333,1566709.27,115634653.5,2026-01,4704.832642642643,0.01354878682626052
0-30,HIGH,West Bengal,334,3042556.29,111167108.21,2026-01,9109.44997005988,0.027369213241136628
0-30,LOW,Delhi,290,1932995.65,108940090.67,2026-01,6665.50224137931,0.017743657436961446
0-30,LOW,Haryana,294,1630137.52,109141140.64,2026-01,5544.685442176871,0.014936049874876954
0-30,LOW,Karnataka,272,2380555.01,90326829.97,2026-01,8752.040477941177,0.0263549048581761
0-30,LOW,Maharashtra,606,4174993.31,209570697.98,2026-01,6889.427904290429,0.01992164625227537
0-30,LOW,Odisha,281,2035055.03,96050511.1,2026-01,7242.18871886121,0.021187342021337773
0-30,LOW,Rajasthan,278,1977475.93,102167331.89,2026-01,7113.222769784173,0.01935526643809275
0-30,LOW,Tamil Nadu,294,1675103.75,106399757.38,2026-01,5697.631802721088,0.015743492196297712
0-30,LOW,Telangana,331,1363025.85,118057554.11,2026-01,4117.902870090635,0.011545435277525759
0-30,LOW,UNKNOWN,329,2246147.12,111310194.53,2026-01,6827.194893617022,0.020179168040126146
0-30,LOW,West Bengal,306,1918178.19,107528519.76,2026-01,6268.556176470588,0.017838785415081583
0-30,MEDIUM,Delhi,325,1487562.6199999999,117424901.96,2026-01,4577.115753846154,0.012668204062088365
0-30,MEDIUM,Haryana,295,2121561.82,103591901.81,2026-01,7191.7349830508465,0.020479996823411922
0-30,MEDIUM,Karnataka,356,1699351.84,124232404.36,2026-01,4773.4602247191015,0.013678813098357393
0-30,MEDIUM,Maharashtra,608,3437275.46,217351264.46,2026-01,5653.413585526316,0.01581437986358057
0-30,MEDIUM,Odisha,343,2279745.81,116523132.97,2026-01,6646.489241982507,0.019564748663142645
0-30,MEDIUM,Rajasthan,331,2244972.39,116368077.2,2026-01,6782.393927492448,0.01929199522770838
0-30,MEDIUM,Tamil Nadu,320,2504070.52,111434675.27,2026-01,7825.220375,0.022471196814930153
0-30,MEDIUM,Telangana,336,1546365.91,116818301.32000001,2026-01,4602.279494047619,0.013237360007179394
0-30,MEDIUM,UNKNOWN,309,1716865.55,106698791.07,2026-01,5556.1991909385115,0.016090768534328063
0-30,MEDIUM,West Bengal,291,1622649.31,100961843.28,2026-01,5576.114467353952,0.01607190654691066
0-30,NPA,Delhi,306,1581425.73,114780283.4,2026-01,5168.05794117647,0.013777851762997128
0-30,NPA,Haryana,275,2627529.26,96635175.18,2026-01,9554.651854545455,0.02719019503100982
0-30,NPA,Karnataka,324,1798843.44,107469684.89,2026-01,5551.985925925926,0.01673814752356626
0-30,NPA,Maharashtra,584,4411767.53,207037238.79,2026-01,7554.396455479453,0.02130905317219238
0-30,NPA,Odisha,322,1287424.98,121588038.63,2026-01,3998.2142236024843,0.010588418026198405
0-30,NPA,Rajasthan,274,1438568.92,96917312.46,2026-01,5250.251532846715,0.014843260543297983
0-30,NPA,Tamil Nadu,302,1855233.7,108943853.62,2026-01,6143.157947019868,0.017029264509690657
0-30,NPA,Telangana,330,2241019.44,113184383.36,2026-01,6790.968,0.019799723013660814
0-30,NPA,UNKNOWN,327,1708188.6,114583504.55,2026-01,5223.818348623853,0.014907805505762043
0-30,NPA,West Bengal,274,1812489.34,101670377.13,2026-01,6614.924598540147,0.01782711337524081
31-60,HIGH,Delhi,133,1183302.51,45636088.75,2026-01,8897.01135338346,0.02592909564363138
31-60,HIGH,Haryana,121,1087458.95,46061635.3,2026-01,8987.264049586776,0.023608778605391807
31-60,HIGH,Karnataka,127,564390.11,46788655.47,2026-01,4444.016614173228,0.012062541749289554
31-60,HIGH,Maharashtra,283,1248809.5,91974747.64,2026-01,4412.754416961131,0.01357774315280524
31-60,HIGH,Odisha,102,715635.55,37214770.21,2026-01,7016.034803921569,0.019229879587102792
31-60,HIGH,Rajasthan,98,932736.26,35608409.15,2026-01,9517.716938775511,0.026194269338763763
31-60,HIGH,Tamil Nadu,132,1306443.1,45964731.42,2026-01,9897.296212121213,0.02842272889756396
31-60,HIGH,Telangana,101,808093.97,37031743.76,2026-01,8000.930396039604,0.02182165590789344
31-60,HIGH,UNKNOWN,135,966380.66,46010756.24,2026-01,7158.375259259259,0.021003363973397714
31-60,HIGH,West Bengal,113,694924.23,37594130.2,2026-01,6149.771946902655,0.0184849131048655
31-60,LOW,Delhi,146,1154586.1400000001,53317844.8,2026-01,7908.124246575343,0.021654778889337256
31-60,LOW,Haryana,125,230294.82,45123097.51,2026-01,1842.3585600000001,0.005103701490106326
31-60,LOW,Karnataka,126,766116.09,44502925.57,2026-01,6080.286428571429,0.017214960144473036
31-60,LOW,Maharashtra,276,1663574.57,97521406.24,2026-01,6027.444094202899,0.017058558055509845
31-60,LOW,Odisha,114,891322.85,36918013.68,2026-01,7818.62149122807,0.024143304613456658
31-60,LOW,Rajasthan,113,534306.8,39890170.589999996,2026-01,4728.378761061947,0.013394447606948679
31-60,LOW,Tamil Nadu,119,721743.6,43249181.58,2026-01,6065.072268907563,0.016688029082468477
31-60,LOW,Telangana,134,906320.27,43326636.47,2026-01,6763.5841044776125,0.02091831593314541
31-60,LOW,UNKNOWN,139,829999.6699999999,47243766.25,2026-01,5971.220647482014,0.017568448408788746
31-60,LOW,West Bengal,139,933965.84,47679221.24,2026-01,6719.178705035971,0.01958852967205049
31-60,MEDIUM,Delhi,141,970041.72,50564876.43,2026-01,6879.728510638298,0.019184101465033482
31-60,MEDIUM,Haryana,133,265535.43,46491957.33,2026-01,1996.506992481203,0.00571142720697322
31-60,MEDIUM,Karnataka,110,967899.9,40611777.81,2026-01,8799.09,0.023832985212523007
31-60,MEDIUM,Maharashtra,213,1502309.09,72852966.98,2026-01,7053.094319248827,0.02062111060504128
31-60,MEDIUM,Odisha,132,1114228.6199999999,45632277.37,2026-01,8441.125909090908,0.024417554507865227
31-60,MEDIUM,Rajasthan,116,704058.74,42499917.47,2026-01,6069.471896551724,0.016566120169456414
31-60,MEDIUM,Tamil Nadu,134,807325.45,47459519.41,2026-01,6024.8167910447755,0.017010822276255326
31-60,MEDIUM,Telangana,123,981017.6900000001,40050350.269999996,2026-01,7975.753577235773,0.02449460949495961
31-60,MEDIUM,UNKNOWN,127,1054224.74,41859556.23,2026-01,8300.982204724409,0.025184804497388722
31-60,MEDIUM,West Bengal,130,676136.78,46656640.83,2026-01,5201.052153846154,0.014491758685834221
31-60,NPA,Delhi,126,1169873.19,43941303.45,2026-01,9284.707857142857,0.02662354318485743
31-60,NPA,Haryana,129,460489.98,43440699.38,2026-01,3569.68976744186,0.010600427400393294
31-60,NPA,Karnataka,135,699727.61,44162095.44,2026-01,5183.167481481481,0.01584452918341866
31-60,NPA,Maharashtra,258,1353760.52,92895321.88,2026-01,5247.133798449612,0.014572967643610258
31-60,NPA,Odisha,135,969510.25,46481906.12,2026-01,7181.5574074074075,0.020857798892693086
31-60,NPA,Rajasthan,112,1097669.47,35414680.64,2026-01,9800.620267857143,0.030994758392941982
31-60,NPA,Tamil Nadu,138,631221.49,46017491.589999996,2026-01,4574.068768115942,0.013716990391913712
31-60,NPA,Telangana,109,717143.75,40249832.67,2026-01,6579.3004587155965,0.01781731009616145
31-60,NPA,UNKNOWN,117,507513.71,41377143.23,2026-01,4337.724017094018,0.012265557029370586
31-60,NPA,West Bengal,120,454347.49,37172054.57,2026-01,3786.229083333333,0.01222282424944799
61-90,HIGH,Delhi,121,1127006.99,43535642.16,2026-01,9314.107355371902,0.02588699589770792
61-90,HIGH,Haryana,118,399846.57,45204714.19,2026-01,3388.5302542372883,0.008845240527777796
61-90,HIGH,Karnataka,115,688576.4299999999,39636559.839999996,2026-01,5987.621130434782,0.017372255129596535
61-90,HIGH,Maharashtra,253,1016537.6,88602224.9,2026-01,4017.9351778656123,0.011473048234932077
61-90,HIGH,Odisha,111,1162768.51,37014815.26,2026-01,10475.391981981982,0.03141359755093912
61-90,HIGH,Rajasthan,114,674726.97,37510403.14,2026-01,5918.657631578947,0.017987729096957925
61-90,HIGH,Tamil Nadu,144,964313.54,50481290.33,2026-01,6696.6218055555555,0.01910239484165737
61-90,HIGH,Telangana,110,915141.1799999999,33919022.06,2026-01,8319.465272727271,0.02698017585475163
61-90,HIGH,UNKNOWN,138,872592.08,49058118.24,2026-01,6323.131014492753,0.017786904824419535
61-90,HIGH,West Bengal,140,912999.55,52947410.2,2026-01,6521.425357142857,0.01724351666212373
