opened_cohort,month,age_months,cohort_accounts,recovery,recovery_per_original_account
2024-01,2026-01,24,1311,7494169.63,5716.376529366896
2024-01,2026-02,25,1311,6403254.080000001,4884.251777269261
2024-01,2026-03,26,1311,7579005.010000001,5781.086964149505
2024-01,2026-04,27,1311,6393634.949999999,4876.914530892448
2024-01,2026-05,28,1311,6654537.59,5075.924935163996
2024-01,2026-06,29,1311,7811342.090000001,5958.308230358505
2024-01,2026-07,30,1311,7707546.92,5879.135713196033
2024-02,2026-01,23,1299,8498897.129999999,6542.645981524249
2024-02,2026-02,24,1299,7564636.120000001,5823.4304234026185
2024-02,2026-03,25,1299,7837637.94,6033.5934872979215
2024-02,2026-04,26,1299,7725976.69,5947.634095458045
2024-02,2026-05,27,1299,8144668.390000001,6269.952571208622
2024-02,2026-06,28,1299,8029326.080000001,6181.159414934566
2024-02,2026-07,29,1299,8100874.18,6236.238783679753
2024-03,2026-01,22,1404,7023853.530000001,5002.74467948718
2024-03,2026-02,23,1404,6590669.609999999,4694.209123931623
2024-03,2026-03,24,1404,9280283.919999998,6609.888831908831
2024-03,2026-04,25,1404,8101783.03,5770.500733618233
2024-03,2026-05,26,1404,8334607.459999999,5936.330099715099
2024-03,2026-06,27,1404,7714517.069999999,5494.670277777777
2024-03,2026-07,28,1404,10401416.88,7408.416581196582
2024-04,2026-01,21,1263,7001886.41,5543.85305621536
2024-04,2026-02,22,1263,8225893.24,6512.979604117181
2024-04,2026-03,23,1263,8608655.670000002,6816.037743467935
2024-04,2026-04,24,1263,7140616.97,5653.695146476643
2024-04,2026-05,25,1263,8876393.78,7028.0235787806805
2024-04,2026-06,26,1263,7247161.959999999,5738.053808392715
2024-04,2026-07,27,1263,8416636.07,6664.003222486144
2024-05,2026-01,20,1287,9693385.18,7531.7678166278165
2024-05,2026-02,21,1287,6757433.16,5250.530815850816
2024-05,2026-03,22,1287,5984244.909999999,4649.762944832944
2024-05,2026-04,23,1287,8420479.47,6542.719090909091
2024-05,2026-05,24,1287,7646975.570000001,5941.705959595961
2024-05,2026-06,25,1287,6490840.720000001,5043.388282828283
2024-05,2026-07,26,1287,7899450.350000001,6137.879059829061
2024-06,2026-01,19,1219,6225887.779999999,5107.373076292042
2024-06,2026-02,20,1219,8016244.419999999,6576.082378999179
2024-06,2026-03,21,1219,6618965.039999998,5429.831862182115
2024-06,2026-04,22,1219,7812452.95,6408.903158326497
2024-06,2026-05,23,1219,7836143.3100000005,6428.337415914684
2024-06,2026-06,24,1219,7977052.050000002,6543.931132075473
2024-06,2026-07,25,1219,8018991.04,6578.335553732568
2024-07,2026-01,18,1324,10290115.81,7771.99079305136
2024-07,2026-02,19,1324,8000725.0,6042.843655589124
2024-07,2026-03,20,1324,8986312.670000002,6787.245219033234
2024-07,2026-04,21,1324,8543541.17,6452.825657099698
2024-07,2026-05,22,1324,7918740.5,5980.921827794562
2024-07,2026-06,23,1324,9531528.889999999,7199.039947129909
2024-07,2026-07,24,1324,9669635.749999998,7303.350264350452
2024-08,2026-01,17,1358,8678129.290000001,6390.375029455082
2024-08,2026-02,18,1358,7631424.28,5619.605508100148
2024-08,2026-03,19,1358,9152579.020000001,6739.748910162004
2024-08,2026-04,20,1358,8668662.730000002,6383.40407216495
2024-08,2026-05,21,1358,7737963.92,5698.058851251841
2024-08,2026-06,22,1358,7021066.47,5170.152039764359
2024-08,2026-07,23,1358,7952462.970000001,5856.011023564065
2024-09,2026-01,16,1326,7368214.870000002,5556.723129713425
2024-09,2026-02,17,1326,5757015.08,4341.640331825038
2024-09,2026-03,18,1326,7473590.320000001,5636.1917948717955
2024-09,2026-04,19,1326,7048648.9399999995,5315.723182503771
2024-09,2026-05,20,1326,6619220.890000001,4991.870957767723
2024-09,2026-06,21,1326,6132220.31,4624.600535444947
2024-09,2026-07,22,1326,7970779.99,6011.146297134239
2024-10,2026-01,15,1362,7224565.609999999,5304.380036710719
2024-10,2026-02,16,1362,9530808.48,6997.656740088106
2024-10,2026-03,17,1362,9933298.1,7293.170411160058
2024-10,2026-04,18,1362,8748759.5,6423.465124816446
2024-10,2026-05,19,1362,6672745.270000001,4899.225602055802
2024-10,2026-06,20,1362,8384485.56,6156.009955947136
2024-10,2026-07,21,1362,8949039.18,6570.513348017621
2024-11,2026-01,14,1288,6799415.069999999,5279.048967391303
2024-11,2026-02,15,1288,7407656.319999999,5751.285962732919
2024-11,2026-03,16,1288,7221083.720000001,5606.43145962733
2024-11,2026-04,17,1288,6642169.350000001,5156.963781055901
2024-11,2026-05,18,1288,9782067.77,7594.7731133540365
2024-11,2026-06,19,1288,8785516.139999999,6821.052903726707
2024-11,2026-07,20,1288,8652207.629999999,6717.552507763974
2024-12,2026-01,13,1306,8318232.3,6369.243721286371
2024-12,2026-02,14,1306,7071109.64,5414.325911179173
2024-12,2026-03,15,1306,8526899.46,6529.019494640123
2024-12,2026-04,16,1306,9588627.759999996,7341.981439509951
2024-12,2026-05,17,1306,7467954.35,5718.188629402756
2024-12,2026-06,18,1306,7759759.090000001,5941.622580398163
2024-12,2026-07,19,1306,8741309.309999999,6693.192427258805
2025-01,2026-01,12,1332,9949014.710000003,7469.230262762765
2025-01,2026-02,13,1332,7053445.86,5295.379774774775
2025-01,2026-03,14,1332,9055893.660000002,6798.7189639639655
2025-01,2026-04,15,1332,7126291.14,5350.068423423423
2025-01,2026-05,16,1332,7760518.22,5826.21487987988
2025-01,2026-06,17,1332,7723873.430000001,5798.703776276277
2025-01,2026-07,18,1332,7523964.16,5648.621741741742
2025-02,2026-01,11,1232,8524805.750000002,6919.485186688313
2025-02,2026-02,12,1232,6905709.01,5605.283287337662
2025-02,2026-03,13,1232,9168670.94,7442.103035714285
2025-02,2026-04,14,1232,7407823.23,6012.843530844156
2025-02,2026-05,15,1232,6907624.8900000015,5606.838384740261
2025-02,2026-06,16,1232,6989169.949999999,5673.027556818181
2025-02,2026-07,17,1232,5203117.6899999995,4223.309813311688
2025-03,2026-01,10,1355,8221937.7299999995,6067.850723247232
2025-03,2026-02,11,1355,6911493.550000001,5100.733247232472
2025-03,2026-03,12,1355,8604021.719999999,6349.8315276752755
2025-03,2026-04,13,1355,6038217.4799999995,4456.249062730627
2025-03,2026-05,14,1355,8637553.4,6374.57815498155
2025-03,2026-06,15,1355,7910660.169999999,5838.125586715866
2025-03,2026-07,16,1355,8592473.62,6341.308944649446
2025-04,2026-01,9,1258,6998290.41,5563.028942766296
2025-04,2026-02,10,1258,7017660.87,5578.426764705882
2025-04,2026-03,11,1258,8752561.850000001,6957.521343402227
2025-04,2026-04,12,1258,6876732.17,5466.400771065183
2025-04,2026-05,13,1258,8633126.24,6862.580476947536
2025-04,2026-06,14,1258,7280247.460000001,5787.160143084261
2025-04,2026-07,15,1258,7003312.489999999,5567.021057233704
2025-05,2026-01,8,1273,7750462.09,6088.34413982718
2025-05,2026-02,9,1273,7008016.019999999,5505.1186331500385
2025-05,2026-03,10,1273,8692941.329999998,6828.704893951295
2025-05,2026-04,11,1273,8058450.35,6330.283071484681
2025-05,2026-05,12,1273,9783623.06,7685.485514532601
2025-05,2026-06,13,1273,6339806.450000001,4980.209308719561
2025-05,2026-07,14,1273,10660050.920000002,8373.959874312648
2025-06,2026-01,7,1256,8827469.97,7028.240421974523
2025-06,2026-02,8,1256,6570606.7299999995,5231.374785031847
2025-06,2026-03,9,1256,7089976.4,5644.88566878981
2025-06,2026-04,10,1256,7436945.0200000005,5921.134570063695
2025-06,2026-05,11,1256,7925718.19,6310.285183121019
2025-06,2026-06,12,1256,8010596.8100000005,6377.8637022293
2025-06,2026-07,13,1256,7896005.52,6286.628598726114
2025-07,2026-01,6,1284,8939739.63,6962.414042056075
2025-07,2026-02,7,1284,9020531.299999999,7025.3359034267905
2025-07,2026-03,8,1284,7236772.559999999,5636.115700934578
2025-07,2026-04,9,1284,5488884.53,4274.832188473521
2025-07,2026-05,10,1284,8265066.169999999,6436.96742211838
2025-07,2026-06,11,1284,6802756.34,5298.09683800623
2025-07,2026-07,12,1284,6967599.420000001,5426.479299065421
2025-08,2026-01,5,1323,7479328.340000001,5653.309402872261
2025-08,2026-02,6,1323,7556795.299999999,5711.863416477701
2025-08,2026-03,7,1323,7590999.65,5737.717044595616
2025-08,2026-04,8,1323,9539645.850000001,7210.616666666668
2025-08,2026-05,9,1323,7600810.68,5745.132789115646
2025-08,2026-06,10,1323,8125512.190000001,6141.732569916857
2025-08,2026-07,11,1323,6948839.079999998,5252.334905517761
2025-09,2026-01,4,1361,8443479.1,6203.878839088905
2025-09,2026-02,5,1361,8249204.9399999995,6061.13515062454
2025-09,2026-03,6,1361,7728434.680000001,5678.497193240265
2025-09,2026-04,7,1361,7884749.65,5793.350220426158
2025-09,2026-05,8,1361,8171661.97,6004.16015429831
2025-09,2026-06,9,1361,10237900.850000001,7522.337141807496
2025-09,2026-07,10,1361,8749332.620000001,6428.605892725937
2025-10,2026-01,3,1325,8973782.08,6772.665720754717
2025-10,2026-02,4,1325,7558073.27,5704.206241509433
2025-10,2026-03,5,1325,9146270.080000002,6902.845343396228
2025-10,2026-04,6,1325,6570335.9399999995,4958.744105660377
2025-10,2026-05,7,1325,7409063.0,5591.745660377359
2025-10,2026-06,8,1325,7436474.63,5612.433683018868
2025-10,2026-07,9,1325,8465021.84,6388.695728301886
2025-11,2026-01,2,1254,8504065.169999998,6781.551172248803
2025-11,2026-02,3,1254,7334047.4799999995,5848.522711323763
2025-11,2026-03,4,1254,8643275.37,6892.56409090909
2025-11,2026-04,5,1254,7874614.540000001,6279.59692185008
2025-11,2026-05,6,1254,9463493.88,7546.645837320575
2025-11,2026-06,7,1254,5817912.26,4639.483460925039
2025-11,2026-07,8,1254,6752197.449999999,5384.527472089314
